Date,Price,Open,High,Low,Vol.,Change %,CPIAUCSL
2011-11-23,"1,695.90","1,699.90","1,710.80","1,677.10",173.33K,-0.38%,227.169
2011-11-22,"1,702.40","1,678.50","1,706.40","1,667.50",182.85K,1.42%,227.169
2011-11-21,"1,678.60","1,725.10","1,727.40","1,667.10",209.40K,-2.70%,227.169
2011-11-18,"1,725.10","1,721.50","1,738.50","1,711.40",147.93K,0.28%,227.169
2011-11-17,"1,720.20","1,764.70","1,768.00","1,711.00",229.94K,-3.05%,227.169
2011-11-16,"1,774.30","1,782.30","1,784.80","1,753.90",172.66K,-0.44%,227.169
2011-11-15,"1,782.20","1,782.00","1,787.80","1,760.90",132.68K,0.21%,227.169
2011-11-14,"1,778.40","1,789.40","1,797.60","1,774.20",87.59K,-0.54%,227.169
2011-11-11,"1,788.10","1,759.60","1,791.10","1,745.00",106.88K,1.62%,227.169
2011-11-10,"1,759.60","1,771.00","1,776.90","1,736.60",172.53K,-1.79%,227.169
2011-11-09,"1,791.60","1,787.40","1,801.10","1,765.10",161.80K,-0.42%,227.169
2011-11-08,"1,799.20","1,795.80","1,804.40","1,778.30",133.69K,0.45%,227.169
2011-11-07,"1,791.10","1,756.10","1,799.90","1,754.00",150.46K,1.99%,227.169
2011-11-04,"1,756.10","1,766.50","1,766.50","1,749.80",88.47K,-0.51%,227.169
2011-11-03,"1,765.10","1,738.90","1,769.50","1,724.00",162.55K,2.05%,227.169
2011-11-02,"1,729.60","1,721.50","1,745.60","1,715.50",148.07K,1.04%,227.169
2011-11-01,"1,711.80","1,715.70","1,725.60","1,681.20",174.29K,-0.78%,227.169
2011-10-31,"1,725.20","1,743.10","1,746.50","1,705.50",122.24K,-1.26%,226.75
2011-10-28,"1,747.20","1,746.20","1,754.00","1,733.00",107.44K,-0.03%,226.75
2011-10-27,"1,747.70","1,726.90","1,751.30","1,707.20",156.35K,1.40%,226.75
2011-10-26,"1,723.50","1,707.10","1,728.00","1,696.50",151.51K,1.36%,226.75
2011-10-25,"1,700.40","1,654.10","1,710.70","1,644.60",195.64K,2.91%,226.75
2011-10-24,"1,652.30","1,643.00","1,663.30","1,636.60",110.14K,0.99%,226.75
2011-10-21,"1,636.10","1,620.90","1,649.80","1,612.80",127.05K,1.44%,226.75
2011-10-20,"1,612.90","1,645.30","1,646.50","1,604.70",188.36K,-2.07%,226.75
2011-10-19,"1,647.00","1,656.40","1,666.90","1,641.10",118.15K,-0.35%,226.75
2011-10-18,"1,652.80","1,672.50","1,678.20","1,628.20",195.66K,-1.42%,226.75
2011-10-17,"1,676.60","1,683.80","1,696.80","1,665.40",114.50K,-0.38%,226.75
2011-10-14,"1,683.00","1,669.00","1,685.50","1,662.50",95.60K,0.87%,226.75
2011-10-13,"1,668.50","1,677.30","1,686.10","1,654.30",115.59K,-0.84%,226.75
2011-10-12,"1,682.60","1,664.70","1,693.90","1,662.00",112.77K,1.30%,226.75
2011-10-11,"1,661.00","1,678.30","1,686.70","1,655.40",110.06K,-0.59%,226.75
2011-10-10,"1,670.80","1,640.50","1,679.70","1,639.90",92.09K,2.14%,226.75
2011-10-07,"1,635.80","1,653.40","1,668.00","1,627.60",129.50K,-1.05%,226.75
2011-10-06,"1,653.20","1,643.50","1,657.00","1,633.20",124.28K,0.71%,226.75
2011-10-05,"1,641.60","1,626.80","1,648.90","1,596.60",154.70K,1.58%,226.75
2011-10-04,"1,616.00","1,662.50","1,681.50","1,597.60",200.94K,-2.52%,226.75
2011-10-03,"1,657.70","1,625.10","1,667.00","1,620.00",141.40K,2.18%,226.75
2011-09-30,"1,622.30","1,618.30","1,642.50","1,607.80",152.88K,0.31%,226.597
2011-09-29,"1,617.30","1,609.30","1,637.90","1,585.00",193.52K,-0.05%,226.597
2011-09-28,"1,618.10","1,653.10","1,672.00","1,600.50",218.35K,-2.08%,226.597
2011-09-27,"1,652.50","1,629.20","1,679.20","1,616.80",228.89K,3.62%,226.597
2011-09-26,"1,594.80","1,660.00","1,666.30","1,535.00",373.46K,-2.74%,226.597
2011-09-23,"1,639.80","1,739.00","1,757.90","1,631.70",359.50K,-5.85%,226.597
2011-09-22,"1,741.70","1,782.30","1,789.00","1,723.20",278.04K,-3.67%,226.597
2011-09-21,"1,808.10","1,806.00","1,819.40","1,781.00",190.87K,-0.06%,226.597
2011-09-20,"1,809.10","1,780.90","1,814.30","1,772.00",174.85K,1.70%,226.597
2011-09-19,"1,778.90","1,820.00","1,832.90","1,771.00",189.06K,-1.97%,226.597
2011-09-16,"1,814.70","1,790.50","1,825.00","1,765.40",190.16K,1.87%,226.597
2011-09-15,"1,781.40","1,824.00","1,829.70","1,775.00",237.74K,-2.47%,226.597
2011-09-14,"1,826.50","1,837.30","1,848.20","1,811.50",172.65K,-0.20%,226.597
2011-09-13,"1,830.10","1,816.80","1,847.50","1,794.80",186.09K,0.93%,226.597
2011-09-12,"1,813.30","1,862.20","1,865.20","1,804.00",226.77K,-2.48%,226.597
2011-09-09,"1,859.50","1,871.90","1,889.10","1,825.50",274.00K,0.11%,226.597
2011-09-08,"1,857.50","1,819.50","1,873.30","1,816.20",218.50K,2.20%,226.597
2011-09-07,"1,817.60","1,876.00","1,883.20","1,793.80",316.26K,-2.97%,226.597
2011-09-05,"1,873.30","1,879.90","1,923.70","1,861.80",414.59K,-0.19%,226.597
2011-09-02,"1,876.90","1,827.90","1,887.40","1,826.90",180.28K,2.61%,226.597
2011-09-01,"1,829.10","1,826.20","1,833.60","1,815.50",138.08K,-0.14%,226.597
2011-08-31,"1,831.70","1,837.60","1,842.70","1,813.60",165.62K,0.10%,226.106
2011-08-30,"1,829.80","1,791.30","1,845.10","1,786.20",184.59K,2.13%,226.106
2011-08-29,"1,791.60","1,840.00","1,841.50","1,778.10",186.02K,-0.32%,226.106
2011-08-26,"1,797.30","1,776.40","1,832.50","1,759.50",265.24K,1.93%,226.106
2011-08-25,"1,763.20","1,753.00","1,777.50","1,705.40",384.69K,0.34%,226.106
2011-08-24,"1,757.30","1,831.50","1,856.80","1,751.60",440.83K,-5.59%,226.106
2011-08-23,"1,861.30","1,900.20","1,917.90","1,826.00",366.70K,-1.62%,226.106
2011-08-22,"1,891.90","1,862.90","1,904.00","1,858.00",253.91K,2.14%,226.106
2011-08-19,"1,852.20","1,827.10","1,881.40","1,824.50",281.31K,1.66%,226.106
2011-08-18,"1,822.00","1,792.20","1,832.00","1,786.80",223.99K,1.57%,226.106
2011-08-17,"1,793.80","1,788.50","1,797.60","1,781.60",137.24K,0.49%,226.106
2011-08-16,"1,785.00","1,768.50","1,790.00","1,763.60",168.06K,1.54%,226.106
2011-08-15,"1,758.00","1,747.10","1,769.30","1,730.80",127.71K,0.88%,226.106
2011-08-12,"1,742.60","1,767.50","1,770.90","1,725.80",210.58K,-0.51%,226.106
2011-08-11,"1,751.50","1,798.00","1,817.60","1,734.50",347.10K,-1.84%,226.106
2011-08-10,"1,784.30","1,747.40","1,801.00","1,740.20",296.97K,2.37%,226.106
2011-08-09,"1,743.00","1,719.90","1,782.50","1,717.70",398.59K,1.74%,226.106
2011-08-08,"1,713.20","1,681.70","1,723.40","1,681.70",278.27K,3.72%,226.106
2011-08-05,"1,651.80","1,649.70","1,673.00","1,644.20",218.36K,-0.43%,226.106
2011-08-04,"1,659.00","1,662.90","1,684.90","1,642.20",310.25K,-0.44%,226.106
2011-08-03,"1,666.30","1,662.50","1,675.90","1,654.40",204.44K,1.33%,226.106
2011-08-02,"1,644.50","1,622.60","1,664.50","1,618.80",173.57K,1.41%,226.106
2011-08-01,"1,621.70","1,622.20","1,634.50","1,608.20",156.24K,-0.58%,226.106
2011-07-29,"1,631.20","1,619.50","1,637.50","1,613.00",153.05K,0.93%,225.395
2011-07-28,"1,616.20","1,616.20","1,622.80","1,605.00",164.00K,0.07%,225.395
2011-07-27,"1,615.10","1,619.80","1,628.80","1,608.90",232.22K,-0.11%,225.395
2011-07-26,"1,616.80","1,614.80","1,620.80","1,607.80",211.47K,0.29%,225.395
2011-07-25,"1,612.20","1,607.90","1,624.30","1,603.80",209.06K,0.67%,225.395
2011-07-22,"1,601.50","1,589.70","1,607.70","1,583.20",158.42K,0.91%,225.395
2011-07-21,"1,587.00","1,601.90","1,605.00","1,584.90",189.18K,-0.62%,225.395
